Company,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,year
Bounce,2014.0,Bangalore,Hospitality and Tourism,Offers a variety of bikes and scooters that can be rented on a subscription basis,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital",105000000.0,Series D,2020
Park+,Undisclosed,Gurugram,Technology,It is engaged in bringing digitization in parking,Amit Lakhotia,"Sequoia Capital, Matrix Partners India",11000000.0,Series D,2020
Goodmylk,2017.0,Bangalore,Technology,Provides Vegan dairy products,Abhay Rangan,"Ginni International, Elisa Khong, Sandeep Singh, VegInvest",400000.0,Seed Round,2020
SmartKarrot,2019.0,Bangalore,Technology,It tracks customers’ real-time digital behaviour,"Prithwi Dasgupta, Arnab Chatterjee",Angel investors,1000000.0,Seed Round,2020
Skylo,2017.0,California,Technology,Provides affordable and ever present network that connects machines or sensors,Trivedi,SoftBank Group,103000000.0,Series B,2020
Tea Trunk,2013.0,Goa,Other,Global premium tea brand,"Snigdha Manchanda, Vikas Kumar, Aishwarya Malhi",Angel investors,220000.0,Series B,2020
Zoomcar,2013.0,Bangalore,Hospitality and Tourism,A car rental service platform,"Greg Moran, David Back",Sony Innovation Fund,30000000.0,Series D,2020
Mera Cashier,2019.0,Noida,Financial Services,App meant for small and micro businessmen to manage their transactions digitally,"Suneel Kumar, Sucharita Reddy, Gaurav Tomar, Akhilesh Nigam,","Amit Singal, Manish Aggarwal",250000.0,Seed Round,2020
Samya AI,2019.0,Illinois,Technology,Revenue growth AI startup in the consumer packed goods (CPG) space,"Shailendra Singh, Deepinder Dhingra, Pavan Palety",Sequoia India,6000000.0,Seed Round,2020
Kristal AI,2016.0,Singapore,Technology,Provides Algorithm-based financial services,"Asheesh Chanda, Vineeth Narasimhan",Chiratae Ventures,6000000.0,Series A,2020
Invento Robotics,Undisclosed,Bengaluru,Technology,Known for Mitra Series of Robots,"Balaji Viswanathan, Be Limitless Inc., Zingfin.com, NalandaU","Windrose Capital, ITI Growth Opportunities Venture Fund",281300.0,Seed Round,2020
Zimyo,2018.0,Gurugram,Technology,Automates everyday HR processes with integrated solutions,"Kumar Mayank, Ajay Kadyan",Yatra Angel Network (YAN),3000000.0,Seed Round,2020
Sabse Sasta Dukaan,2016.0,Kolkata,Healthcare,Online pharmacy dealing in medicines,"Anish Agarwal, Anant Jain",Angel investors,3000000.0,Seed Round,2020
Fitphilia,Undisclosed,Mumbai,Healthcare,Provides IoT-enabled treadmill,Nirav Patil,Angel investors,3000000.0,Seed Round,2020
Medicus,Undisclosed,Mumbai,Healthcare,AI-based platform that explains and interprets blood tests and medical reports,"Bhavesh Shah, Manav Shah",Angel investors,12700.0,Seed Round,2020
Monech,Undisclosed,Mumbai,Financial Services,Automated platform which will help users to take their financial decisions,Unknown,Angel investors,12700.0,Seed Round,2020
Teach Us,Undisclosed,Massachusetts,Education,Educational portal which enables the students to access information related to education at one common platform,Unknown,Angel investors,12700.0,Seed Round,2020
Dealberg,Undisclosed,Bangalore,Technology,Deals in office supplies,Abhishek Emmanuel,Undisclosed,3000000.0,Seed Round,2020
Phenom People,2010.0,Hyderabad,Technology,It redefines the means to search for a job and recruit top talent,Mahe Bayireddi,WestBridge Capital,30000000.0,Series C,2020
Extra Edge,Undisclosed,Pune,Education,Admission Marketing Automation software for the education industry,Kavita Dhillon,"Sprout Venture Partners, Indian Angel Network",700000.0,Pre-Series A,2020
Capital Quotient,2016.0,Bangalore,Financial Services,Investment advisor,Sousthav Chakrabarty,Undisclosed,600000.0,Pre-Series A,2020
Karfa,Undisclosed,Delhi,Retail and E-Commerce,It sells products crafted by artisans,Kartikeya Goel,Undisclosed,25000.0,Seed Round,2020
Gamerji,2019.0,Ahmedabad,Media and Entertainment,Esports tournament platform,"Soham Thacker, Varun Gajjar",La Gajjar Group,400000.0,Seed Round,2020
Bounce,2014.0,Bangalore,Hospitality and Tourism,Offers a variety of bikes and scooters that can be rented on a subscription basis,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital",97500000.0,Series D,2020
Zinier,2015.0,Bangalore,Automotive and Transportation,Provides intelligent field service automation,Arka Dhar,ICONIQ Capital,90000000.0,Series C,2020
ProEves,2016.0,Delhi,Healthcare,"Provides tech-enabled, end-to-end childcare support solutions for corporate and retail consumers","Divya Agarwal, Ketika Kapoor",1Crowd,507000.0,Seed Round,2020
Toddle,Undisclosed,Bengaluru,Financial Services,Collaboration and productivity platform for teachers across the world,"Deepanshu Arora, Parita Parekh",Matrix Partners India,3000000.0,Seed Round,2020
Aesthetic Nutrition,2018.0,Gurgaon,Hospitality and Tourism,Markets and sells chewable dietary supplements,Divij Bajaj,DSG Consumer Partners,3000000.0,Pre-Series A,2020
Capital Float,2013.0,Bangalore,Financial Services,Digital lending,"Gaurav Hinduja, Sashank Rishyasringa","Sequoia Capital, Ribbit Capital, Amazon, Saif Partners",15000000.0,Pre-Series A,2020
Ninjacart,2015.0,Bangalore,Technology,Online grocery delivery platform,"Thirukumaran Nagarajan, Sharath Loganathan, Sachin Jose, Kartheeswaran KK, Vasudevan Chinnathambi","Flipkart India, Singapore-based GEC3",10000000.0,Series C,2020
TechnifyBiz,2017.0,New,Technology,Online marketplace for non-perishable food items,"Akash Sharma, Abhishek Agarwal","Omnivore, Insitor Impact Asia Fund",2000000.0,Seed Round,2020
Wysh,2019.0,Hyderabad,Other,Celebrity engagement and wishing platform,"Mahesh Gogineni, Varun MS, Manan Maheshwari",Kalaari Capital,2000000.0,Series A,2020
Keito,2016.0,Pune,Technology,Enterprise productivity startup,Amal PS,Suma Soft Pvt Ltd,160000.0,Seed Round,2020
Klub,2019.0,Bengaluru,Financial Services,Provides growth financing to high-affinity brands,"Anurakt Jain, Ishita Verma",Sequoia Surge,2000000.0,Pre seed round,2020
Aadhar,2017.0,Mumbai,Retail and E-Commerce,Ayurveda wellness and lifestyle consumer brand,Unknown,"Sprout Venture Partners, JITO Angel Network, LetsVenture",3000000.0,Seed Round,2020
IncubateHub,Undisclosed,Bengaluru,Technology,Provides platform for Corporates to connect establish brand presence among innovation community,Rajiv Mukherjee,Venture Catalysts,3000000.0,Seed Round,2020
Rage Coffee,Undisclosed,Delhi,Consumer Goods,Provides effective Instant Coffee Infused with Natural Brain Vitamins & Plant Based Cognitive Enhancers,Bharat Sethi,Refex Capital,3000000.0,Seed Round,2020
Skilancer,Undisclosed,Noida,Technology,Solar module cleaning system [MCS] providers,Neeraj Kumar,Venture Catalysts,3000000.0,Seed Round,2020
Harappa Education,Undisclosed,New,Education,Provides online courses on foundational skills,Pramath Raj Sinha,James Murdoch-led Lupa Systems,3000000.0,Seed Round,2020
Rheo,Undisclosed,San,Technology,Online e-sports streaming and community platform,Gaurav Munjal,"Lightspeed Venture Partners, Sequoia Surge",2000000.0,Seed Round,2020
Axio Biosolutions,Undisclosed,Bangalore,Healthcare,Medical device manufacturer,Leo Mavely,Omidyar Network India,5200000.0,Series B,2020
Techbooze,Undisclosed,New,Professional Services,"Business Development, Consulting and Funding facilitator for Startups Enterprise",Mr. Subhashis Kar,Space Capital,15000000.0,Series A,2020
PayMart,2015.0,Chandigarh,Financial Services,Provides cardless cash withdrawals through small merchants shops,Amit Narang,"IIM Ahmedabad’s incubator (CIIE.CO),Chandigarh Angels Network",3000000.0,Series A,2020
Testbook,Undisclosed,Mumbai,Education,Helps students prepare online for competitive exams,"Praveen Agrawal, Yadvendar Champawat, Manoj Munna, Abhishek Sagar, Ashutosh Kumar, Narendra Agrawal",Iron Pillar,8400000.0,Series B,2020
FabAlley,2012.0,Noida,Retail and E-Commerce,Online fashion store,"Tanvi Malik, Shivani Poddar.",Trifecta Capital,1100000.0,Series B,2020
HaikuJAM,Undisclosed,Mumbai,Financial Services,Creative writing mobile platform,Neer Sharma,"Lightbox. Social Capital, Dunce Capital",3400000.0,Series B,2020
Mamaearth,Undisclosed,Gurgaon,Retail and E-Commerce,Online baby and mother care brand,"Ghazal Alagh, Varun Alagh",Sequoia India,18300000.0,Series A,2020
Rentomojo,2014.0,Bengaluru,Real Estate,"Furniture, electronics, and appliance-centric consumer leasing platform",Geetansh Bamania,GMO Payment Gateway,2000000.0,Series A,2020
Zomato,Undisclosed,Gurgaon,Technology,Online food delivery and restaurant discovery platform,Deepinder Goyal,Ant Financial,150000000.0,Series A,2020
Byju,2011.0,Bangalore,Education,Provides online learning classes,Byju Raveendran,Tiger Global,200000000.0,Series A,2020
Generico,Undisclosed,Mumbai,Healthcare,Generic medicine focussed retail chain,Siddharth Gadia,Alteria Capital,1400000.0,Series A,2020
HighRadius,2016.0,Hyderabad,Technology,"An AI-based platform, to automate accounts receivables and treasury processes.",Sashi Narahari,ICONIQ Capital,125000000.0,Series B,2020
Chai Kings,Undisclosed,Chennai,Other,It offers a range of tea in various flavour,"Jahabar Sadique, Balaji Sadagopan",The Chennai Angels (TCA),1000000.0,Series B,2020
Rivigo,2014.0,Gurugram,Hospitality and Tourism,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies","Deepak Garg, Gazal Kalra",Trifecta Capital,3400000.0,Series F,2020
BuildPan,2019.0,Indore,Technology,"It helps developers to test, integrate and deploy apps","Sonal Khandelwal, Vaibhav Tiwari","HNIs in India, Japan, and the US",3000000.0,Seed Round,2020
Shiksha,2008.0,Noida,Education,It makes college selection easy for students looking to pursue UG and PG courses in India and abroad,Kanav Sachdeva,Mumbai Angels Network,181000.0,Seed Round,2020
Super Surfaces,Undisclosed,Hyderabad,Other,A design solution based company,Kumar Varma,Vishnu Reddy,500000.0,Series A,2020
Quicko,Undisclosed,Ahmedabad,Other,Online tax planning and filing platform,Vishvajit Sonagara,"Zerodha fintech fund, Rainmatter",280000.0,Series A,2020
Satin Creditcare,Undisclosed,Gurgaon,Financial Services,A micro finance company,Unknown,Austrian Bank,15000000.0,Series A,2020
XpressBees,2015.0,Pune,Hospitality and Tourism,Provides end to end supply chain solutions,"Supam Maheshwari, Amitava Saha",Alibaba,10000000.0,Series A,2020
FarmERP,2001.0,Pune,Technology,Smart agriculture management ERP software platform,"Santosh Shinde, Sanjay Borkar",TechnoGen,3000000.0,Series A,2020
Wealth Bucket,2018.0,New,Financial Services,An online platform for mutual fund investments,"Himanshu Jain, Pulkit Jain","NorthStar, Vinod Khatumal",3000000.0,Series A,2020
GoMechanic,2016.0,Delhi,Technology,Find automobile repair and maintenance service providers,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa","Chiratae Ventures, Sequoia Capital, Orios Venture Partners",14700000.0,Series B,2020
Fashor,2017.0,Chennai,Retail and E-Commerce,Women’s fashion and apparel,"Vikram Kankaria, Priyanka Kankaria",Sprout venture partners,1000000.0,Pre-Series A,2020
Leverage Edu,Undisclosed,Delhi,Education,AI enabled marketplace that provides career guidance,Akshay Chaturvedi,"DSG Consumer Partners, Blume Ventures",1500000.0,Pre-Series A,2020
EpiFi,Undisclosed,Bangalore,Financial Services,It offers customers with a single interface for all their financial and banking mandates,"Sujith Narayanan, Sumit Gwalani","Sequoia India, Ribbit Capital",13200000.0,Seed Round,2020
Purplle,2012.0,Mumbai,Other,Online makeup and beauty products retailer,"Manish Taneja, Rahul Dash",Verlinvest,8000000.0,Seed Round,2020
Shuttl,2015.0,Delhi,Hospitality and Tourism,App based bus aggregator serice,"Amit Singh, Deepanshu Malviya",SIG Global India Fund LLP.,8043000.0,Series C,2020
Pando,2017.0,Chennai,Technology,Networked logistics management software,"Jayakrishnan, Abhijeet Manohar",Chiratae Ventures,9000000.0,Series A,2020
Bombay Shaving,Undisclosed,New,Retail and E-Commerce,Provides a range of male grooming products,Shantanu Deshpande,Sixth Sense Ventures,6300000.0,Series A,2019
Ruangguru,2014.0,Mumbai,Education,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students","Adamas Belva Syah Devara, Iman Usman.",General Atlantic,150000000.0,Series C,2019
Eduisfun,Undisclosed,Mumbai,Education,It aims to make learning fun via games.,Jatin Solanki,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",28000000.0,Fresh funding,2019
HomeLane,2014.0,Chennai,Retail and E-Commerce,Provides interior designing solutions,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",30000000.0,Series D,2019
Nu Genes,2004.0,Telangana,Technology,"It is a seed company engaged in production, processing and marketing of seeds",Narayana Reddy Punyala,Innovation in Food and Agriculture (IFA),6000000.0,Series D,2019
FlytBase,Undisclosed,Pune,Technology,A drone automation platform,Nitin Gupta,Undisclosed,3000000.0,Series D,2019
Finly,Undisclosed,Bangalore,Technology,"It builds software products that makes work simpler, pleasant, and productive","Vivek AG, Veekshith C Rai","Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.",3000000.0,Series D,2019
Kratikal,2013.0,Noida,Technology,It is a product-based cybersecurity solutions provider,"Pavan Kushwaha, Paratosh Bansal, Dip Jung Thapa","Gilda VC, Art Venture, Rajeev Chitrabhanu.",1000000.0,Pre series A,2019
Quantiphi,Undisclosed,Massachusetts,Technology,It is an AI and big data services company providing business solutions.,Renuka Ramnath,Multiples Alternate Asset Management,20000000.0,Series A,2019
Lenskart,2010.0,Delhi,Retail and E-Commerce,It is a eyewear company,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi",SoftBank,275000000.0,Series G,2019
Cub McPaws,2010.0,Mumbai,Technology,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,"Abhay Bhat, Kinnar Shah",Venture Catalysts,3000000.0,Series G,2019
Appnomic,Undisclosed,Bangalore,Technology,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",D Padmanabhan,Avataar Ventures,22000000.0,Series G,2019
Kaleidofin,2018.0,Chennai,Financial Services,Platform that provides complete financial solutions for excluded individuals and households,"Puneet Gupta, Sucharita Mukherjee",Oikocredit,5000000.0,Series A,2019
JobSquare,2019.0,Ahmedabad,Technology,Technology-based platform that is connecting suitable applicants to the right recruiters,Ishit Jethwa,Titan Capital,140500.0,Series A,2019
Open Secret,Undisclosed,Mumbai,Technology,It produces and sells top quality snacks,"Ahana Gautam, Udit Kejriwal",Matrix Partners,3000000.0,Series A,2019
LivFin,2017.0,Delhi,Financial Services,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",Rakesh Malhotra,German development finance institution DEG,5000000.0,Series A,2019
Byju's,2011.0,Bangalore,Education,Provides online learning classes,Byju Raveendran,"South Africa’s Naspers Ventures, the CPP Investment Board",540000000.0,Series A,2019
Zest Money,2015.0,Bangalore,Financial Services,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,"Chapman, Priya Sharma, Ashish Anantharaman",Goldman Sachs.,15000000.0,Series B,2019
Witblox,2014.0,Mumbai,Education,Offers a range of robotics learning tools,Amit Modi,Mumbai Angels Network,182700.0,Series B,2019
Azah Personal Care Pvt. Ltd.,2018.0,Gurugram,Healthcare,Aims to solve some problems in the feminine hygiene sector,"Mohammed, Shashwat Diesh","Kunal Bahl, Rohit Bansal.",3000000.0,Pre series A,2019
SalaryFits,2015.0,New,Financial Services,A platform that promotes financial well-being of employees at workplace,Renato Araujo,Brazilian VC Fund Confrapar,5000000.0,Pre series A,2019
Pristyn Care,2018.0,Gurgaon,Healthcare,Delivers advanced medical care & clinical excellence aided by next-level technology,"Harsimarbir Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList.",12000000.0,Series B,2019
Springboard,2013.0,San,Education,Offers online courses and extensive mentor-based learning,"Gautam Tambay, Parul Gupta",Reach Capital,11000000.0,Post series A,2019
DROR Labs Pvt. Ltd,2018.0,Delhi,Technology,It uses technology to create a trust-based network of responsible citizens to ensure safety,"Dhiraj Naubhar, Dheeraj Bansal",Inflection Point Ventures,3000000.0,Post series A,2019
Medlife,2014.0,Bangalore,Healthcare,It solves inadequacies in the healthcare delivery system through technology,"Tushar Kumar, Prashant Singh",Wilson Global Opportunities Fund,15500000.0,Post series A,2019
Seekify,2019.0,Delhi,Technology,Customer Experience (CX) Automation platform,"Arihant Jain, Ajeet Kushwaha",Sequoia Capita,1500000.0,Seed,2019
Toffee Insurance,2017.0,Haryana,Financial Services,Provides variety of insurance plans and policies,"Nishant Jain, Rohan Kumar",IVM Intersurer,5500000.0,Series A,2019
Fireflies .ai,Undisclosed,San,Technology,Developer of an artificial intelligence-powered assistant for businesses,Sam Udotong,Canaan Partners,5000000.0,Series A,2019
HungerBox,2015.0,Bangalore,Technology,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","Sandipan Mitra, Uttam Kumar","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.",12000000.0,Series C,2019
Bijak,2019.0,Gurugram,Technology,B2B platform for agricultural commodities.,"Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi","Omnivore and Omidyar Network India, Sequoia Capital",2500000.0,Seed fund,2019
Licious,Undisclosed,Bangalore,Hospitality and Tourism,Online meat shop,"Vivek Gupta, Abhay Hanjura",Vertex Growth Fund,30000000.0,Series E,2019
truMe,Undisclosed,Gurgaon,Technology,A global platform for Identity and Access Management,"Babu Dayal, Pramod Uniyal, Lalit Mehta",Rajan Kaistha,140000.0,Series E,2019
Pumpkart,2014.0,Chandigarh,Technology,B2B model for appliances and electrical products,KS Bhatia,Dinesh Dua,3000000.0,Series E,2019
Asteria Aerospace,2011.0,Bangalore,Technology,"Develops drones that are used by the military, paramilitary, police forces and in various industries.","Neel Mehta, Nihar Vartak",Reliance Industries,230000000.0,Series E,2019
Rivigo,2014.0,Gurugram,Hospitality and Tourism,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies","Deepak Garg, Gazal Kalra","SAIF Partners India VI Ltd, Spring Canter Investment Ltd",20000000.0,Series F,2019
HappyEasyGo,2017.0,Gurugram,Hospitality and Tourism,Online flight booking,"Vivek Prabhakar, Boris Zha","Korea Investment Partners (KIP), Samsung Venture Investment Corporation (SVIC), UOB Venture, 10 Fund, CVCapital, Zero2IPO Ventures, M&S Partners",49400000.0,Series B,2019
Zetwerk,2018.0,Bangalore,Other,Provides facilities to get products manufactured.,"Amit Acharya, Srinath Ramakkrushnan","Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital",32000000.0,Series B,2019
Observe.AI,Undisclosed,Bangalore,Technology,Creates a voice AI platform,Swapnil,Scale Venture Partners,26000000.0,Series A,2019
Freshokartz,2016.0,Jaipur,Technology,Online fruits and vegetables delivery company,Rajendra Lora,ThinkLab,150000.0,Pre series A,2019
Lil’ Goodness and sCool meal,Undisclosed,Bangalore,Healthcare,It empowers moms to provide the best of foods to their Lil' ones,Unknown,"Sajan Pillai, Muthu Krishnan,",400000.0,Pre series A,2019
Trell,2016.0,Bangalore,Healthcare,Blogging platform that enables people to create visual collections of their travel and local experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah",2000000.0,Pre series A,2019
VMate,Undisclosed,Gurgaon,Financial Services,A short video platform,Unknown,Alibaba,100000000.0,Pre series A,2019
Bombay Shirt Company,2012.0,Mumbai,Retail and E-Commerce,Online custom shirt brand,Akshay Narvekar,Lightbox Ventures,8000000.0,Pre series A,2019
Slintel,2016.0,Bengaluru,Technology,"It helps sales and marketing teams understand purchase intent of buyers on buying patterns, usage and renewals",Deepak Anchala,Stellaris Ventures,1500000.0,Pre series A,2019
MyGameMate,Undisclosed,Bangalore,Media and Entertainment,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,Parshavv Jain& Raju Kushwaha,"Jindagi Live Angels,",100000.0,Pre series A,2019
Afinoz,Undisclosed,Noida,Financial Services,Online financial marketplace for customized rate quotes on loans and investment products in India,Rachna Suneja,Fintech innovation lab,3000000.0,Pre series A,2019
Rein Games,Undisclosed,Noida,Technology,"It develops, publishes and distributes games across various platforms","Vaibhav Gupta, Himanshu Devra, Pranav Chaudhary, Nishtha Gupta","Manipal Education and Medical Group (MEMG) family office, Titan Capital",50000000.0,Pre series A,2019
Ecozen,Undisclosed,Pune,Technology,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,"Devendra Gupta, Prateek Singhal, Vivek Pandey",Innovation in Food & Agriculture Fund (IFA Fund),6000000.0,Series A,2019
Box8,2011.0,Mumbai,Technology,Enables to order food online,"Amit Raj, Anshul Gupta",Trifecta Capital,120000000.0,Series A,2019
Awign Enterprises,2016.0,Bangalore,Financial Services,It supplies workforce to the economy,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Work10M, Michael and Susan Dell Foundation, Eagle10, Unitus Ventures.",4000000.0,Series A,2019
Purplle,2012.0,Mumbai,Other,Online makeup and beauty products retailer,"Manish Taneja, Rahul Dash",Goldman Sachs,30000000.0,Series C,2019
Freightwalla,2017.0,Mumbai,Other,Provides digital platform for businesses to plan and manage their international freight shipments online,"Sanjay Bhatia, Bharat Tanvi, Punit Java","Amplo, FJ Labs, Rogue One Capital",4000000.0,Series A,2019
TapChief,2016.0,Bangalore,Financial Services,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,"Shashank Murali, Binay Krishna, Arjun Krishna",Blume Ventures.,1500000.0,Pre series A,2019
eJOHRI,2015.0,Mumbai,Other,Omnichannel marketplace for gems and jewellery,"Jignesh Mehta, Shailen Mehta",Rajesh Ranavat,1000000.0,Pre series A,2019
Ninjacart,2015.0,Gurugram,Technology,"It connects producers of food directly to retailers, restuarants and service providers.","Thirukumaran Nagarajanin, Vasudevan Chinnathambi","Walmart, Flipkart",3000000.0,Pre series A,2019
Binca Games,2014.0,Mumbai,Other,It offers games that are available across India and UK.,"Rubianca Wadhwa, Sahil Wadhwa",Sunil Gavaskar,3000000.0,Pre series A,2019
KredX,Undisclosed,Bangalore,Financial Services,Invoice discounting platform,Manish Kumar,Tiger Global Management,26000000.0,Series B,2019
m.Paani,Undisclosed,Mumbai,Financial Services,It digitizes and organises local retailers,Akanksha Hazari,"AC Ventures, Henkel",5500000.0,Series A,2019
Origo,2010.0,Gurugram,Technology,It provides post-harvest management services for agricultural commodities,"Mayank Dhanuka, Sunoor Kaul","Oikocredit, Caspian SME Impact Fund IV,  Triodos Investment Management",6800000.0,Series A,2019
WishADish,Undisclosed,Delhi,Technology,Provides management solution for restaurants,"Sawan Kumar, Bhavya Bhambhani",Undisclosed,6000000.0,Series A,2019
Ecom Express,2012.0,Gurugram,Hospitality and Tourism,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,"Krishnan, Manju Dhawan, K Satyanarayana, Sanjeev Saxena",CDC Group,36000000.0,Series A,2019
Stanza Living,2017.0,Delhi,Other,Provides comfortable and secure accomodation for students,"Sandeep Dalmia, Anindya Dutta",Alteria Capital,5700000.0,Series A,2019
PiBeam,Undisclosed,Chennai,Technology,It is engaged in building sustainable and affordable micro-mobility electric vehicles,Visakh Sasikumar,GAIL (India) Ltd,50000000.0,Series A,2019
Euler Motors,Undisclosed,Delhi,Technology,It is offering mobility as a service,Saurav Kumar,"Blume Ventures, Emergent Ventures",2000000.0,Series A,2019
Moms Co,Undisclosed,New,Retail and E-Commerce,It is into mother and baby care-focused consumer goods,Malika Sadani,"Saama Capital, DSG Consumer Partners",5000000.0,Series B,2019
Cubical Labs,2013.0,New,Technology,Home automation solution provider,"Dhruv Ratra, Swati Vyas",Rockstud Capital,3000000.0,Series B,2019
Lawyered,2015.0,Delhi,Technology,It helps to connect to legal advise online,"Ashish Bhatia, Himanshu Gupta","Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal",100000.0,Series B,2019
Cuemath,2013.0,Bangalore,Education,It helps students to learn math online,Manan Khurma,"Manta Ray Ventures Limited, Google’s Capital G, Sequoia India.",5500000.0,Series B,2019
Licious,2015.0,Bangalore,Hospitality and Tourism,Online meat shop,"Vivek Gupta, Abhay Hanjura",Vertex Ventures,25000000.0,Series D,2019
Nivesh.com,2016.0,Noida,Other,The platform simplifies the process of investment,"Anurag Garg, Sridhar Srinivasan",Windrose Capital,600000.0,Series D,2019
Zebu,2015.0,Chennai,Technology,"Platform uses encryption technology to allow businesses to safely store files, invoices, and schedules",Team of Waterloo-based software developers,Undisclosed,4000000.0,Seed round,2019
Smart Institute,Undisclosed,Surat,Education,A platform to learn online,Unknown,HNI investors,1500000.0,Seed round,2019
CarDekho,2008.0,Jaipur,Automotive and Transportation,Enables people to buy and sell new/old cars.,Amit Jain,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",70000000.0,Series D,2019
Shadowfax,2015.0,Bangalore,Hospitality and Tourism,A platform for delivery services,"Abhishek Bansal, Vaibhav Khandelwal","Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",60000000.0,Series D,2019
Credr,2014.0,Mumbai,Automotive and Transportation,A marketplace to buy and sell used bikes and scooters,Mittal,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList",6000000.0,Series D,2019
Sportido,2015.0,Noida,Media and Entertainment,It is a sports discovery app that helps to find people and places to play 700+ sports,"Neeraj Aggarwala, Akhil Ramachandran","Inflection Point Ventures, SucSEED Venture Partners.",3000000.0,Series B,2019
Phable,2018.0,Bengaluru,Healthcare,"It creates an engagement loop between doctors, hospitals, and patients via its app",Sumit Sinha,"LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.",220000.0,Series B,2019
Sarva,Undisclosed,Chennai,Healthcare,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,Sarvesh Shashi,"Venture fund, Fireside Ventures.",2800000.0,Series B,2019
IndyFint,2019.0,Bangalore,Financial Services,"It helps lenders to directly provide short-term loans to merchants, employees, and students",Paddy Padmanabhan,Saravanan Adiseshan,2100000.0,Series A,2019
Zolostays,2015.0,Bangalore,Other,It offers affordable housing apartments to young professionals and students,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry",Trifecta Capital,7000000.0,Series A,2019
Ola,2010.0,Bangalore,Hospitality and Tourism,It enables one to book cab online,"Bhavish Aggarwal, Ankit Bhati","Kia Motors, Hyundai",311000000.0,Series A,2019
Zoomcar,2013.0,Bangalore,Hospitality and Tourism,A car rental service platform,"Greg Moran, David Back",Zoomcar Inc,4800000.0,Series A,2019
Kratikal,Undisclosed,Uttar,Technology,Provides cyber security solutions,Pavan Kushwaha,"Gilda VC, Art Venture, Rajeev Chitrabhanu",1000000.0,Pre-series A,2019
Froogal,Undisclosed,Hyderabad,Technology,A cloud based Customer Loyalty & Engagement Platform,"Jeevan Chowdary M, Harshit Harchani",US-based angel investors,1000000.0,Pre series A,2019
Infra.Market,Undisclosed,Mumbai,Technology,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing","Aaditya Sharda, Souvik Sengupta","Tiger Global, Nexus Venture Partners, Accel Partners, Dhruv Agarwala",20000000.0,Series A,2019
Oyo,2013.0,Gurugram,Healthcare,Provides rooms for comfortable stay,Ritesh Agarwal,"MyPreferred Transformation, Avendus Finance, SoftBank",693000000.0,Series A,2019
GoMechanic,2016.0,Delhi,Technology,Find automobile repair and maintenance service providers,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Sequoia Capital,5000000.0,Series B,2019
Spinny,2015.0,Delhi,Automotive and Transportation,Online car retailer,"Niraj Singh, Ramanshu Mahaur, Ganesh Pawar, Mohit Gupta","Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",50000000.0,Series B,2019
